S.NO,Localities,Addresses,PointofContact,ChargingSlots
3126,THE SPRING Resort & Spa,"12699 Reposo WyDesert Hot Springs, California 92240","Phone (760) 251-6700

                                                   ","Charging
1 Tesla Connector"
3127,The St Anthony Hotel,"300 E Travis StSan Antonio, Texas 78205","Phone (210) 227-4392

                                                   ","Charging
2 Tesla Connectors"
3128,The St. Regis Aspen Resort,"315 E Dean StAspen, Colorado 81611","Phone (970) 920-3300

                                                   ","Charging
2 Tesla Connectors"
3129,The St. Regis Atlanta & Atlas Buckhead,"88 W Paces Ferry RdAtlanta, GA 30305","Phone (404) 563-7900

                                                   ","Charging
2 Tesla Connectors"
3130,The St. Regis Bal Harbour Resort,"9703  Collins AveBal Harbour, Florida 33154","Phone (305) 993-3300

                                                   ","Charging
4 Tesla Connectors"
3131,The St. Regis Deer Valley,"2300 Deer Valley Dr EPark City, Utah 84060","Phone (435) 940-5700

                                                   ","Charging
1 Tesla Connector"
3132,The St. Regis Houston,"1919 Briar Oaks LnHouston, TX 77027","Phone (713) 840-7600

                                                   ","Charging
3 Tesla Connectors"
3133,The St. Regis Washington D.C.,"923  16th St NWWashington, DC 20006","Phone (202) 638-2626

                                                   ","Charging
1 Tesla Connector"
3134,The Stagecoach Inn,"201 Riverfront DrSalmon, Idaho 83467","Phone (208) 756-2919

                                                   ","Charging
1 Tesla Connector"
3135,"The Standard Spa, Miami Beach","40  Island AveMiami Beach, Florida 33139","Phone (305) 673-1717

                                                   ","Charging
1 Tesla Connector"
3136,"The Standard, Downtown LA","550  S Flower StLos Angeles, California 90071","Phone (213) 892-8080

                                                   ","Charging
2 Tesla Connectors"
3137,"The Standard, High Line","848  Washington StNew York, New York 10014","Phone (212) 645-4646

                                                   ","Charging
2 Tesla Connectors"
3138,"The Standard, Hollywood","8300 Sunset BlvdWest Hollywood, California 90069","Phone (323) 650-9090

                                                   ","Charging
3 Tesla Connectors"
3139,The Stanford Inn by the Sea,"10051 S Big River RdMendocino, CA 95460","Phone (707) 937-5615

                                                   ","Charging
1 Tesla Connector"
3140,The Study at Yale,"1157 Chapel StNew Haven, CT 06511","Phone (203) 503-3900

                                                   ","Charging
1 Tesla Connector"
3141,The Swag,"Waynesville, NC 28785","Phone (828) 926-0430

                                                   ","Charging
1 Tesla Connector"
3142,The Tennessean Hotel,"531 Henley StKnoxville, TN 37902","Phone (865) 232-1800

                                                   ","Charging
2 Tesla Connectors"
3143,The Tides Inn,"480 King Carter DrIrvington, VA 22480","Phone (804) 438-5000

                                                   ","Charging
2 Tesla Connectors"
3144,The Tiger Hotel,"23 S 8th StColumbia, MO 65201","Phone (573) 875-8888

                                                   ","Charging
1 Tesla Connector"
3145,The Timbrook Guesthouse,"5811 Olentangy River RdColumbus, Ohio 43235","Phone (419) 560-3263

                                                   ","Charging
1 Tesla Connector"
3146,The Townsend Hotel,"100 Townsend StBirmingham, MI 48009","Phone (248) 642-7900

                                                   ","Charging
2 Tesla Connectors"
3147,The Ugly Dog Public House - Cashiers,"25 Frank Allen RdCashiers, North Carolina 28717","Phone (828) 743-3000

                                                   ","Charging
1 Tesla Connector"
3148,The Ugly Dog Public House - Highlands,"420 Spring StHighlands, North Carolina 28741","Phone (828) 526-8364

                                                   ","Charging
1 Tesla Connector"
3149,The Umstead Hotel and Spa,"100 Woodland Pond DrCary, NC 27513","Phone (919) 447-4000

                                                   ","Charging
1 Tesla Connector"
3150,The Vanderbilt Grace Hotel,"41 Mary StNewport, Rhode Island 02840","Phone (401) 846-6200

                                                   ","Charging
1 Tesla Connector"
3151,The Victoria Resort Bed and Breakfast,"241 Oak StSouth Haven, Michigan 49090","Phone (269) 637-6414

                                                   ","Charging
2 Tesla Connectors"
3152,The Victorian Inn,"400 Ocean AveFerndale, CA 95536","Phone (707) 786-4949

                                                   ","Charging
1 Tesla Connector"
3153,The Village Lodge at Mammoth,"10001 Minaret RdMammoth Lakes, CA 93546","Phone (760) 934-1982

                                                   ","Charging
4 Tesla Connectors"
3154,The Villas at Gervasi Vineyard,"1700 55th St NECanton, OH 44721","Phone (330) 497-1000

                                                   ","Charging
1 Tesla Connector"
3155,The Vine,"25642 Bernard RdNew Ulm, Texas 78950","Phone (713) 553-9797

                                                   ","Charging
2 Tesla Connectors"
3156,The Waldport Inn,"190 SW Hwy 101Waldport, Oregon 97394","Phone (541) 563-5750

                                                   ","Charging
4 Tesla Connectors"
3157,The Wallingford Victorian Inn,"245 N Main StWallingford, Connecticut 06492","Phone (203) 265-1200

                                                   ","Charging
2 Tesla Connectors"
3158,The Waterfront Shops,"1240 Duck RdDuck, North Carolina 27949","Phone (252) 256-0550

                                                   ","Charging
4 Tesla Connectors"
3159,The Watergate Hotel,"2650 Virginia Ave NWWashington, District of Columbia 20037","Phone (202) 827-1600

                                                   ","Charging
4 Tesla Connectors"
3160,The Weekapaug Inn,"25 Spray Rock RdWesterly, RI 02891","Phone (401) 637-7600

                                                   ","Charging
2 Tesla Connectors"
3161,The Wentworth Inn,"1 Carter Notch RdJackson, NH 03846","Phone (603) 383-9700

                                                   ","Charging
1 Tesla Connector"
3162,The Westin Bonaventure Hotel & Suites,"404 S Figueroa StLos Angeles, CA 90071","Phone (213) 624-1000

                                                   ","Charging
3 Tesla Connectors"
3163,The Westin Buckhead Atlanta,"3391 Peachtree RdAtlanta, GA 30326","Phone (404) 365-006

                                                   ","Charging
2 Tesla Connectors"
3164,The Westin Copley Place,"10 Huntington AveBoston, Massachusetts 02116","Phone (617) 262-9600

                                                   ","Charging
1 Tesla Connector"
3165,The Westin Hilton Head Island Resort & Spa,"2 Grasslawn AveHilton Head Island, SC 29928","Phone (843) 681-4000

                                                   ","Charging
1 Tesla Connector"
3166,The Westin Jekyll Island,"110 Ocean WayJekyll Island, Georgia 31527","Phone (912) 635-4545

                                                   ","Charging
5 Tesla Connectors"
3167,The Westin La Paloma Resort and Spa,"3800 East Sunrise DrTucson, Arizona 85718","Phone (520) 742-6000

                                                   ","Charging
1 Tesla Connector"
3168,The Westin Mission Hills Golf Resort & Spa,"71333 Dinah Shore DrRancho Mirage, California 92270","Phone (760) 328-5955

                                                   ","Charging
4 Tesla Connectors"
3169,The Westin Peachtree Plaza,"210 Peachtree St NEAtlanta, GA 30303","Phone (404) 659-1400

                                                   ","Charging
2 Tesla Connectors"
3170,The Westin Richmond,"6631 W Broad StRichmond, VA 23230","Phone (804) 282-8444

                                                   ","Charging
3 Tesla Connectors"
3171,The Westin Riverfront Resort and Spa / Westin Riverfront Mountain Villas,"218 Riverfront LnAvon, CO 81620","Phone (970) 790-6000

                                                   ","Charging
1 Tesla Connector"
3172,The Westin Tampa Bay,"7627 W Courtney Campbell CswyTampa, Florida 33607","Phone (813) 281-0000

                                                   ","Charging
1 Tesla Connector"
3173,The Westin Verasa Napa,"1314 McKinstry StNapa, California 94559","Phone (707) 257-1800

                                                   ","Charging
8 Tesla Connectors"
3174,The Westmoor Club,"10 Westmoor LnNantucket, MA 02554","Phone (508) 228-9494

                                                   ","Charging
2 Tesla Connectors"
3175,"The Whistling Swan Inn, a Select Registry Property","110 Main StStanhope, NJ 07874","Phone (973) 347-6369

                                                   ","Charging
1 Tesla Connector"
3176,The White Barn Inn,"37 Beach AveKennebunk, ME 04043","Phone (207) 967-2321

                                                   ","Charging
2 Tesla Connectors"
3177,"The White Oak Inn, a Select Registry Property","29683 Walhonding RdDanville, OH 43014","Phone (740) 599-6107

                                                   ","Charging
1 Tesla Connector"
3178,The Whiteface Lodge,"7 Whiteface Inn LnLake Placid, NY 12946","Phone (518) 523-0500

                                                   ","Charging
2 Tesla Connectors"
3179,The Wick Hotel,"41 Cross StHudson, New York 12534","Phone (833) 843-9425

                                                   ","Charging
2 Tesla Connectors"
3180,The Wigwam,"300 E Wigwam BlvdLitchfield Park, Arizona 85340","Phone (623) 935-3811

                                                   ","Charging
2 Tesla Connectors"
3181,The William Vale Hotel,"111 N 12th StBrooklyn, New York 11249","Phone (718) 631-8400

                                                   ","Charging
4 Tesla Connectors"
3182,The Willows Historic Palm Springs Inn,"412 W Tahquitz Canyon WayPalm Springs, CA 92262","Phone (760) 320-0771

                                                   ","Charging
1 Tesla Connector"
3183,The Wolfeboro Inn,"90 N Main StWolfeboro, NH 03894","Phone (603) 569-3016

                                                   ","Charging
2 Tesla Connectors"
3184,"The Wooden Duck Bed and Breakfast, a Select Registry Property","140 Goodale RdNewton, NJ 07860","Phone (973) 300-0395

                                                   ","Charging
1 Tesla Connector"
3185,The Woolverton Inn,"6 Woolverton RdStockton, New Jersey 08559","Phone (609) 397-0802

                                                   ","Charging
1 Tesla Connector"
3186,The Wyman Hotel,"1371 Greene SSilverton, Colorado 81433","Phone (877) 504-5272

                                                   ","Charging
4 Tesla Connectors"
3187,The Yucatan Beach Stand,"250  Old San Carlos BlvdFort Myers Beach, Florida 33931","Phone (239) 333-4386

                                                   ","Charging
2 Tesla Connectors"
3188,The Z Deck EFF,"1234 Library StDetroit, MI 48226","Phone (855) 487-6727

                                                   ","Charging
3 Tesla Connectors"
3189,Thomas George Estates,"8075 Westside RdHealdsburg, California 95448","Phone (707) 431-8031

                                                   ","Charging
1 Tesla Connector"
3190,Thompson Miami Beach,"4041 Collins AveMiami Beach, FL 33140","Phone (877) 793-8519

                                                   ","Charging
2 Tesla Connectors"
3191,Thompson Seattle,"100 Stewart StSeattle, Washington 98101","Phone (206) 623-4600

                                                   ","Charging
1 Tesla Connector"
3192,"Thorncroft Inn, a Select Registry Property","460 Main StTisbury, MA 02568","Phone (508) 693-3333

                                                   ","Charging
1 Tesla Connector"
3193,Three Lakes Winery,"6971 Gogebic StThree Lakes, WI 54562","Phone (800) 944-5434

                                                   ","Charging
3 Tesla Connectors"
3194,Thrift Store USA Norfolk,"875 E Little Creek RdNorfolk, Virginia 23518","Phone (757) 588-2900

                                                   ","Charging
1 Tesla Connector"
3195,Thurston House,"851 Lake AveMaitland, FL 32751","Phone (407) 539-1911

                                                   ","Charging
2 Tesla Connectors"
3196,Timberlake Hotel,"1212 2nd Ave NEStaples, Minnesota 56479","Phone (218) 895-1300

                                                   ","Charging
2 Tesla Connectors"
3197,Times House Bed and Breakfast,"25 Race StJim Thorpe, PA 18229","Phone (267) 934-9393

                                                   ","Charging
1 Tesla Connector"
3198,Tin City Cider,"3005 Limestone WyPaso Robles, California 93446","Phone (805) 293-6349

                                                   ","Charging
2 Tesla Connectors"
3199,Tippecanoe Lake Country Club,"7245 N Kalorama RdLeesburg, Indiana 46538","Phone (574) 453-4441

                                                   ","Charging
2 Tesla Connectors"
3200,Titanic Pigeon Forge,"2134 ParkwayPigeon Forge, Tennessee 37863","Phone (800) 381-7670

                                                   ","Charging
2 Tesla Connectors"
3201,Tivoli Lodge,"386 Hanson Ranch RdVail, Colorado 81657","Phone (970) 476-5615

                                                   ","Charging
2 Tesla Connectors"
3202,Toll House Hotel,"140 S Santa Cruz AveLos Gatos, California 95030","Phone (408) 395-7070

                                                   ","Charging
6 Tesla Connectors"
3203,Tomales Bay Resort,"12938 Sir Francis Drake BlvdInverness, California 94937","Phone (415) 669-1389

                                                   ","Charging
3 Tesla Connectors"
3204,Tombstone Grand Hotel,"580 W Randolph WyTombstone, AZ 85638","Phone (520) 457-9507

                                                   ","Charging
1 Tesla Connector"
3205,Topnotch Resort & Spa,"4000 Mountain RdStowe, Vermont 05672","Phone (802) 253-8585

                                                   ","Charging
2 Tesla Connectors"
3206,TOPS'L Beach and Racquet Resort,"9011 Highway 98 WDestin, FL 32550","Phone (888) 909-6807

                                                   ","Charging
1 Tesla Connector"
3207,TOPS'L Commercial Center,"8955 Emerald Coast PkwyMiramar Beach, FL 32550","Phone (888) 909-6807

                                                   ","Charging
1 Tesla Connector"
3208,Topside Inn,"60 McKown StBoothbay Harbor, ME 4538","Phone (207) 633-5404

                                                   ","Charging
1 Tesla Connector"
3209,Torrance Marriott South Bay,"3635 Fashion WayTorrance, CA 90503","Phone (310) 316-3636

                                                   ","Charging
1 Tesla Connector"
3210,Torre di Pietra Vineyards,"10915 E Hwy 290Fredericksburg, TX 78624","Phone (830) 644-2829

                                                   ","Charging
2 Tesla Connectors"
3211,Tower23 Hotel,"723 Felspar StSan Diego, California 92109","Phone (858) 270-2323

                                                   ","Charging
2 Tesla Connectors"
3212,Town House Motel - Historic Old Town,"933 4th StEureka, California 95501","Phone (707) 443-4536

                                                   ","Charging
2 Tesla Connectors"
3213,Town of Rich Hill,"908 E Park AveRich Hill, Missouri 64779","Phone (417) 395-2355

                                                   ","Charging
2 Tesla Connectors"
3214,TownePlace Inn & Suites Bend,"755 SW 13th PlBend, Oregon 97702","Phone (541) 382-5006

                                                   ","Charging
1 Tesla Connector"
3215,TownePlace Suites Austin Round Rock,"541  Parker DrAustin, Texas 78728","Phone (512) 255-0600

                                                   ","Charging
3 Tesla Connectors"
3216,TownePlace Suites by Marriott Dothan,"201 Retail DrDothan, Alabama 36303","Phone (334) 944-6400

                                                   ","Charging
2 Tesla Connectors"
3217,TownePlace Suites by Marriott Joplin,"4026 S Arizona AveJoplin, Missouri 64804","Phone (417) 659-8111

                                                   ","Charging
3 Tesla Connectors"
3218,TownePlace Suites by Marriott Nashville Smyrna,"990 Colonnade DrSmyrna, Tennessee 37167","Phone (615) 459-2017

                                                   ","Charging
2 Tesla Connectors"
3219,TownePlace Suites by Marriott Rochester,"2829 43rd St NWRochester, Minnesota 55901","Phone (507) 281-1200

                                                   ","Charging
4 Tesla Connectors"
3220,Towneplace Suites by Marriott San Jose - Santa Clara,"2877 Lakeside DrSanta Clara, California 95054","Phone (408) 969-9900

                                                   ","Charging
4 Tesla Connectors"
3221,Towneplace Suites Charleston Mt. Pleasant,"1350  Stuart Engals BlvdMt. Pleasant, South Carolina 29464","Phone (843) 936-5555

                                                   ","Charging
2 Tesla Connectors"
3222,TownePlace Suites Minneapolis Mall of America,"2500 Lindau LnBloomington, Minnesota 55425","Phone (952) 540-4000

                                                   ","Charging
2 Tesla Connectors"
3223,TownePlace Suites Springfield,"2009 S National AveSpringfield, Missouri 65804","Phone (417) 881-8118

                                                   ","Charging
2 Tesla Connectors"
3224,Townies Pizzeria,"819 TJ Courson RdFernandina Beach, Florida 32034","Phone (904) 277-4755

                                                   ","Charging
1 Tesla Connector"
3225,TownPlace Suites Chandler,"3635 W Chandler BlvdChandler, Arizona 85226","Phone (480) 525-8898

                                                   ","Charging
3 Tesla Connectors"
3226,Tradewinds Carmel,"Mission St at Third AveCarmel-by-the-Sea, CA 93921","Phone (831) 624-2776

                                                   ","Charging
1 Tesla Connector"
3227,Trattore Farms,"7878 Dry Creek RdGeyserville, California 95441","Phone (707) 431-7200

                                                   ","Charging
2 Tesla Connectors"
3228,Travaasa Austin Resort & Spa,"13500 Farm to Market Rd 2769Austin, TX 78726","Phone (512) 258-7243

                                                   ","Charging
2 Tesla Connectors"
3229,Travelodge Santa Monica,"3102 Pico BlvdSanta Monica, CA 90405","Phone (310) 450-5766

                                                   ","Charging
2 Tesla Connectors"
3230,Trillium Brewing Company,"110 Shawmut StCanton, Massachusetts 02021","Phone (781) 562-0073

                                                   ","Charging
2 Tesla Connectors"
3231,Trinchero Napa Valley,"3070  North Saint Helena HwySaint Helena, California 94574","Phone (707) 963-1160

                                                   ","Charging
1 Tesla Connector"
3232,Trinidad Bay Bed & Breakfast,"560 Edwards StTrinidad, CA 95570","Phone (707) 677-0840

                                                   ","Charging
1 Tesla Connector"
3233,Triple Crossing Brewing - Fulton,"5203 Hatcher StRichmond, Virginia 23231","Phone (804) 495-1955

                                                   ","Charging
3 Tesla Connectors"
3234,Troutbeck,"515 Leedsville RdAmenia, New York 12501","Phone (845) 789-1555

                                                   ","Charging
2 Tesla Connectors"
3235,Tru by Hilton Atlanta/McDonough,"251 Avalon CtMcDonough, Georgia 30253","Phone (678) 809-9444

                                                   ","Charging
4 Tesla Connectors"
3236,Tru by Hilton Auburn,"2411 W Pace BlvdAuburn, Alabama 36830","Phone (334)521-0400

                                                   ","Charging
4 Tesla Connectors"
3237,Tru by Hilton Meridian,"519 Azalea DrMeridian, Mississippi 39301","Phone (601) 531-4100

                                                   ","Charging
2 Tesla Connectors"
3238,Trump National Doral,"4400 NW 87th AveMiami, FL 33178","Phone (305) 592-2000

                                                   ","Charging
2 Tesla Connectors"
3239,TRYP by Wyndham Sebastian St. Augustine,"333 S Ponce de Leon BlvdSt. Augustine, Florida 32084","Phone (904) 209-5580

                                                   ","Charging
1 Tesla Connector"
3240,Turnbull Wine Cellars,"8210 St Helena HwyOakville, California 94562","Phone (800) 887-6285

                                                   ","Charging
1 Tesla Connector"
3241,Tuthilltown Spirits,"14 Gristmill LnGardiner, NY 12525","Phone (845) 633-8734

                                                   ","Charging
2 Tesla Connectors"
3242,Twelve Oaks Bed & Breakfast,"2176  Monticello St SWCovington, GA 30014","Phone (770) 385-4005

                                                   ","Charging
1 Tesla Connector"
3243,Twin Falls Resort State Park Lodge,"97 RRMullens, West Virginia 25882","Phone (304) 294-4000

                                                   ","Charging
3 Tesla Connectors"
3244,Twin Farms,"452  Royalton TurnpikeBarnard, VT 05031","Phone (802) 234-9999

                                                   ","Charging
14 Tesla Connectors"
3245,Twin Pine Casino & Hotel,"22223 Rancheria RdMiddletown, CA 95461","Phone (707) 987-0297

                                                   ","Charging
3 Tesla Connectors"
3246,Two Brothers Roundhouse,"205 N BroadwayAurora, Illinois 60505","Phone (630) 264-2739

                                                   ","Charging
4 Tesla Connectors"
3247,Two Bunch Palms Resort & Spa,"67425 Two Bunch Palms TrlDesert Hot Springs, CA 92240","Phone (760) 329-8791

                                                   ","Charging
2 Tesla Connectors"
3248,"Twomey Cellars, Calistoga","1183 Dunaweal LnCalistoga, California 94515","Phone (707) 942-72489

                                                   ","Charging
1 Tesla Connector"
3249,"Twomey Cellars, Healdsburg","3000 Westside RdHealdsburg, CA 95448","Phone (707) 942-7122

                                                   ","Charging
1 Tesla Connector"
3250,Tysons Corner,"1961 Chain Bridge RdMcClean, Virginia 22102","Phone (703) 893-9400

                                                   ","Charging
8 Tesla Connectors"
3251,Union Station Garage,"301 S Meridian StIndianapolis, Indiana 46225","Phone (317) 266-8842

                                                   ","Charging
3 Tesla Connectors"
3252,Universal CityWalk Parking (Frankenstein Garage),"333 Universal Hollywood DrUniversal City, California 90068","Phone (818) 622-9841

                                                   ","Charging
1 Tesla Connector"
3253,Universal's Cabana Bay Beach Resort,"6550 Adventure WyOrlando, Florida 32819","Phone (407) 503-4000

                                                   ","Charging
4 Tesla Connectors"
3254,University Inn Corvallis,"350 SW 4th StCorvallis, Oregon 97333","Phone (541) 753-4496

                                                   ","Charging
4 Tesla Connectors"
3255,University Inn Tucson,"950 N Stone AveTucson, Arizona 85705","Phone (520) 791-7503

                                                   ","Charging
2 Tesla Connectors"
3256,University of North Alabama - Parking Lot A,"1 Harrison PlazaFlorence, Alabama 35632","Phone (256) 765-4100

                                                   ","Charging
4 Tesla Connectors"
3257,University of North Alabama - Parking Lot E,"1  Harrison PlazaFlorence, Alabama 35632","Phone (256) 765-4100

                                                   ","Charging
4 Tesla Connectors"
3258,Unusual Junction,"56310 US 36West Lafayette, Ohio 43845","Phone (740) 545-9772

                                                   ","Charging
3 Tesla Connectors"
3259,Urban Chestnut Grove Brewery and Bierhall,"4465 Manchester AveSt. Louis, MO 63110","Phone (314) 222-0143

                                                   ","Charging
2 Tesla Connectors"
3260,Urban Cookhouse Nashville,"1907 BroadwayNashville, Tennessee 37203","Phone (615) 953-6449

                                                   ","Charging
1 Tesla Connector"
3261,Urban South Brewery,"1645 Tchoupitoulas StNew Orleans, Louisiana 70130","Phone (504) 267-4852

                                                   ","Charging
4 Tesla Connectors"
3262,US Grant,"326 BroadwaySan Diego, CA 92101","Phone (619) 232-3121

                                                   ","Charging
3 Tesla Connectors"
3263,Vail’s Mountain Haus at the Covered Bridge,"292 E Meadow DrVail, CO 81657","Phone (970) 476-2434

                                                   ","Charging
2 Tesla Connectors"
3264,Valhalla Resort Hotel,"688  Bahn InnsbruckHelen, Georgia 30545","Phone (706) 878-2200

                                                   ","Charging
2 Tesla Connectors"
3265,Valley of the Moon Winery,"777 Madrone RdGlen Ellen, CA 95442","Phone (707) 939-4500

                                                   ","Charging
1 Tesla Connector"
3266,Vaughan Athletic Center,"2121 W Indian TrlAurora, Illinois 60506","Phone (630) 907-9600

                                                   ","Charging
4 Tesla Connectors"
3267,Velo Vino Clif Family Winery,"709 Main StSt Helena, California 94574","Phone (707) 968-0625

                                                   ","Charging
1 Tesla Connector"
3268,Venetian Hotel,"3355 S Las Vegas BlvdLas Vegas, Nevada 89109","Phone (702) 414-1000

                                                   ","Charging
1 Tesla Connector"
3269,Ventana Inn & Spa,"48123 Hwy 1Big Sur, California 93920","Phone (831) 667-2331

                                                   ","Charging
3 Tesla Connectors"
3270,Veranda Beach Resort,"299 Eastlake RdOroville, Washington 98844","Phone (509) 476-4000

                                                   ","Charging
2 Tesla Connectors"
3271,Vero Beach Hotel & Spa,"3500  Ocean DrVero Beach, FL 32963","Phone (772) 231-5666

                                                   ","Charging
2 Tesla Connectors"
3272,Viader Vineyards & Winery,"1120 Deer Park RdDeer Park, California 94576","Phone (707) 963-3816

                                                   ","Charging
2 Tesla Connectors"
3273,Viceroy Santa Monica,"1819 Ocean AveSanta Monica, California 90401","Phone (310) 260-7500

                                                   ","Charging
3 Tesla Connectors"
3274,Victoria Inn,"402 Main StMurphys, California 95247","Phone (209) 728-8933

                                                   ","Charging
1 Tesla Connector"
3275,Victoria National,"2000 Victoria National BlvdNewburgh, IN 47630","Phone (812) 858-8230

                                                   ","Charging
3 Tesla Connectors"
3276,ViewPoint Hotel,"229 Nubble RdYork, Maine 03909","Phone (207) 361-3261

                                                   ","Charging
2 Tesla Connectors"
3277,Villafranca Inn,"900 Munras AveMonterey, CA 93940","Phone (831) 373-2921

                                                   ","Charging
1 Tesla Connector"
3278,Village of Northport,"116 S Waukazoo StNorthport, MI 49670","Phone (231) 386-5182

                                                   ","Charging
2 Tesla Connectors"
3279,Village of Oak Brook - Soccer Club Lot,"700 Oak Brook RdOak Brook, Illinois 60523","Phone (630) 368-6440

                                                   ","Charging
2 Tesla Connectors"
3280,Village of Pinecrest Municipal Center,"12645 Pinecrest PkwyPinecrest, FL 33156","Phone (305) 234-2121

                                                   ","Charging
1 Tesla Connector"
3281,Village of Rowlett - Downtown,"4001 Coyle StRowlett, TX 75088",Roadside Assistance (877) 798-3752,"Charging
2 Tesla Connectors"
3282,Vincent Hill Station,"553 Sierra HwyActon, California 93510","Phone (661) 272-4799

                                                   ","Charging
3 Tesla Connectors"
3283,Vines on the Marycrest,"5076 Mustard Creek RdPaso Robles, California 93446","Phone (805) 237-0378

                                                   ","Charging
2 Tesla Connectors"
3284,Vineyard 29,"2929 N Hwy 29St Helena, California 94574","Phone (707) 963-9292

                                                   ","Charging
4 Tesla Connectors"
3285,Vineyard 7 & 8,"4028 Spring Moutain RdSt. Helena, California 94574","Phone (707) 963-9425

                                                   ","Charging
2 Tesla Connectors"
3286,Vintners Inn,"4350 Barnes RdSanta Rosa, CA 95403","Phone (800) 421 2584

                                                   ","Charging
1 Tesla Connector"
3287,Virginia Creek Settlement,"70847 US-395Bridgeport, California 93517","Phone (760) 932-7780

                                                   ","Charging
1 Tesla Connector"
3288,Vista Sotheby's international Realty,"608 Silver SpurRolling Hills Estates, CA 90274","Phone (310) 541-8271

                                                   ","Charging
1 Tesla Connector"
3289,W Atlanta - Buckhead,"3377 Peachtree Rd NEAtlanta, GA 30326","Phone (678) 500-3100

                                                   ","Charging
2 Tesla Connectors"
3290,W Austin Hotel & Residences,"200 Lavaca StAustin, TX 78701","Phone (512) 542-3600

                                                   ","Charging
3 Tesla Connectors"
3291,W Boston Hotel Hotel & Residences,"100 Stuart StBoston, MA 02116","Phone (617) 261-8700

                                                   ","Charging
1 Tesla Connector"
3292,W Fort Lauderdale,"401 N Fort Lauderdale Beach BlvdFort Lauderdale, FL 33304","Phone (954) 414-8200

                                                   ","Charging
2 Tesla Connectors"
3293,W Hoboken,"225 River StHoboken, NJ 07030","Phone (201) 253-2400

                                                   ","Charging
2 Tesla Connectors"
3294,W Hollywood Hotel and Residences,"6250 Hollywood BlvdLos Angeles, CA 90028","Phone (323) 798-1330

                                                   ","Charging
4 Tesla Connectors"
3295,W Hotel Los Angeles - West Beverly Hills,"930 Hilgard AveLos Angeles, CA 90024","Phone (310) 208-8765

                                                   ","Charging
2 Tesla Connectors"
3296,W San Diego,"421 W B StSan Diego, CA 92101","Phone (619) 398-3100

                                                   ","Charging
2 Tesla Connectors"
3297,W Scottsdale,"7277 E Camelback RdScottsdale, AZ 85251","Phone (480) 970-2100

                                                   ","Charging
2 Tesla Connectors"
3298,Walden Hall,"17440 True Blue LnReva, VA 22735","Phone (540) 509-1440

                                                   ","Charging
1 Tesla Connector"
3299,Walden Inn,"1119 Aurora Hudson RdAurora, Ohio 44202","Phone (330) 562-5508

                                                   ","Charging
1 Tesla Connector"
3300,Waldorf Astoria Boca Raton Resort & Club,"501 E Camino RealBoca Raton, FL 33432","Phone (561) 447-3000

                                                   ","Charging
2 Tesla Connectors"
3301,Waldorf Astoria New York,"301 Park AveNew York, NY 10022","Phone (212) 355-3000

                                                   ","Charging
2 Tesla Connectors"
3302,Waldorf Astoria Orlando,"14200 Bonnet Creek Resort LnOrlando, FL 32821","Phone (407) 597-5500

                                                   ","Charging
3 Tesla Connectors"
3303,Waldorf Astoria Park City,"2100 Frostwood DrPark City, Utah 84098","Phone (435) 647-5500

                                                   ","Charging
2 Tesla Connectors"
3304,Warm Springs Inn & Winery,"1611 Love LnWenatchee, WA 98801","Phone (509) 662-5683

                                                   ","Charging
1 Tesla Connector"
3305,Washington House Inn,"W62 N573 Washington AveCedarburg, WI 53012","Phone (262) 375-3550

                                                   ","Charging
1 Tesla Connector"
3306,Washington Plaza Hotel,"10 Thomas Cir NWWashington, District of Columbia 20005","Phone (202) 842-1300

                                                   ","Charging
12 Tesla Connectors"
3307,Wasserhund Brewing Company,"1805 Laskin RdVirginia Beach, VA 23454","Phone (757) 351-1326

                                                   ","Charging
2 Tesla Connectors"
3308,Water Street Hotel & Marina,"329 Water StApalachicola, FL 32320","Phone (850) 653-3700

                                                   ","Charging
1 Tesla Connector"
3309,Water's Edge Resort and Spa,"1525 Boston Post RdWestbrook, Connecticut 06498","Phone (860) 399-5901

                                                   ","Charging
2 Tesla Connectors"
3310,Waterstone Resort & Marina Boca Raton,"999 E Camino RealBoca Raton, Florida 33432","Phone (561) 368-9500

                                                   ","Charging
2 Tesla Connectors"
3311,Waterworks,"60 Backus AveDanbury, CT 06810","Phone (800) 899-6757

                                                   ","Charging
2 Tesla Connectors"
3312,Waukegan Harbor & Marina,"27 E Madison AveWaukegan, IL 60185","Phone (847) 244-3133

                                                   ","Charging
2 Tesla Connectors"
3313,Waukegan National Airport,"2601 W Plane Rest DrWaukegan, Illinois 60087","Phone (847) 244-0055

                                                   ","Charging
2 Tesla Connectors"
3314,Wayfarer Lodgings,"1912 Scenic HighwayFrankfort, MI 49635","Phone (231) 651-0875

                                                   ","Charging
1 Tesla Connector"
3315,Wekiva Island,"1014 Miami Springs DrLongwood, FL 32779","Phone (407) 862-1500

                                                   ","Charging
1 Tesla Connector"
3316,Wellspring Ranch,"9150 Santa Rita RdCayucos, California 93430","Phone (805) 995-1644

                                                   ","Charging
1 Tesla Connector"
3317,Wequassett Resort and Golf Club,"2173 MA-28Harwich, Massachusetts 02645","Phone (800) 225-7125

                                                   ","Charging
2 Tesla Connectors"
3318,West Baden Springs Hotel,"8538 W Baden AveWest Baden Springs, IN 47469","Phone (812) 936-1902

                                                   ","Charging
2 Tesla Connectors"
