,S.No,State,Locality,Directions,Assistance,No.of.Slots,lat,long,accuracy
638,638,New Jersey,North Brunswick NJ Tesla Supercharger, North Brunswick NJ ,,NA,40.415898,-74.444711,establishment
639,639,New Jersey,Paramus-Route 17, 530 Route 17 N Paramus NJ 07652 , Roadside Assistance: (877) 798-3752,8,40.9447191,-74.0718782,route
640,640,New Jersey,Parsippany-Troy Hills NJ Tesla Supercharger, Parsippany-Troy Hills NJ ,,NA,40.813953,-74.4688944,establishment
641,641,New Jersey,Pompton Lakes NJ Tesla Supercharger, Pompton Lakes NJ ,,NA,41.9419133,-74.0274235,establishment
642,642,New Jersey,Roxbury Township NJ Tesla Supercharger, Roxbury Township NJ ,,NA,NA,NA,NA
643,643,New Jersey,Summit NJ Tesla Supercharger, Summit NJ ,,NA,NA,NA,NA
644,644,New Jersey,Tinton Falls Supercharger, 1 Premium Outlets Blvd Tinton Falls NJ 7753, Roadside Assistance: (877) 798-3752,8,40.2263308,-74.0935212,establishment
645,645,New Jersey,Tom's River NJ Tesla Supercharger, Tom's River NJ ,,NA,40.513393,-74.2513908,establishment
646,646,New Jersey,Wayne NJ Tesla Supercharger, Wayne NJ ,,NA,40.813953,-74.4688944,establishment
647,647,New Jersey,West Orange NJ Tesla Supercharger, West Orange NJ ,,NA,40.813953,-74.4688944,establishment
648,648,New Jersey,Woodbridge Township NJ Supercharger, 440 King Georges Road Woodbridge NJ 08857-0000, Roadside Assistance: (877) 798-3752,8,40.5358408,-74.2972403,establishment
649,649,New Mexico,Albuquerque Supercharger, 2600 Menaul Blvd NE Albuquerque NM 87107, Roadside Assistance: (877) 798-3752,6,35.1087085,-106.6132432,establishment
650,650,New Mexico,Clayton NM Tesla Supercharger, Clayton NM ,,NA,36.451693,-103.1841039,locality
651,651,New Mexico,Clovis NM Tesla Supercharger, Clovis NM ,,NA,34.4047987,-103.2052272,locality
652,652,New Mexico,Deming NM Supercharger, 1695 US-180 Deming 88030, Roadside Assistance: (877) 798-3752,8,32.2812775,-107.7602212,establishment
653,653,New Mexico,Farmington NM Supercharger, 4200 Sierra Vista Drive Farmington NM 87402, Roadside Assistance: (877) 798-3752,4,36.7663152,-108.1442322,establishment
654,654,New Mexico,Gallup NM Supercharger, 111 Twin Buttes Rd Gallup NM 87301, Roadside Assistance: (877) 798-3752,4,35.5052093,-108.8289232,establishment
655,655,New Mexico,Grants NM Tesla Supercharger, Grants NM ,,NA,35.1087085,-106.6132432,establishment
656,656,New Mexico,Las Vegas NM Supercharger, 2500 N. Grand Ave. Las Vegas NM 87701, Roadside Assistance: (877) 798-3752,6,35.6220194,-105.2054098,establishment
657,657,New Mexico,Santa Fe Supercharger, 8380 Cerrillos Rd Santa Fe NM 87507-4415, Roadside Assistance: (877) 798-3752,8,37.1340887,-104.5193449,establishment
658,658,New Mexico,Santa Rosa Supercharger, 2516 Historic Route 66 Santa Rosa NM 88435, Roadside Assistance: (877) 798-3752,6,38.2427257,-122.6251003,establishment
659,659,New Mexico,Soccoro NM Tesla Supercharger, Soccoro NM ,,NA,34.0583995,-106.8914159,locality
660,660,New Mexico,Truth or Consequences Supercharger, 2201 F.G. Amin Street Truth or Consequences NM 87901, Roadside Assistance: (877) 798-3752,8,33.1284047,-107.2528069,locality
661,661,New Mexico,Tucumcari Supercharger, 2624 S Adams St. Tucumcari NM 88401, Roadside Assistance: (877) 798-3752,6,35.1539968,-103.7226463,establishment
662,662,Newyork,Albany NY Supercharger, 131 Colonie Center Albany NY 12205, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
663,663,Newyork,Astoria NY Tesla Supercharger, Astoria NY ,,NA,40.6618426,-73.7928163,establishment
664,664,Newyork,Bath Beach NY Tesla Supercharger, Bath Beach NY ,,NA,33.7043844,-78.9251774,establishment
665,665,Newyork,Bay Shore NY Tesla Supercharger, Bay Shore NY ,,NA,40.8049857,-73.1803346,establishment
666,666,Newyork,Baychester NY Tesla Supercharger, Baychester NY ,,NA,40.7219089,-73.956413,establishment
667,667,Newyork,Bedford Hills NY Tesla Supercharger, Bedford Hills NY ,,NA,NA,NA,NA
668,668,Newyork,Bergen Beach NY Tesla Supercharger, Bergen Beach NY ,,NA,NA,NA,NA
669,669,Newyork,Binghamton Supercharger, 1062 Front Street Binghamton NY 13905, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
670,670,Newyork,Brooklyn Heights NY Tesla Supercharger, Brooklyn Heights NY ,,NA,NA,NA,NA
671,671,Newyork,Brooklyn NY Tesla Supercharger, Brooklyn NY ,,NA,NA,NA,NA
672,672,Newyork,Brooklyn NY - N. 12th Street Supercharger, 113 N. 12th Street Brooklyn NY 11249, Roadside Assistance: (877) 798-3752,4,NA,NA,NA
673,673,Newyork,Buffalo Supercharger, 4455 Transit Road Buffalo NY 14221, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
674,674,Newyork,Buffalo NY Tesla Supercharger, Buffalo NY ,,NA,42.9686616,-78.6955216,establishment
675,675,Newyork,Centuck NY Tesla Supercharger, Centuck NY ,,NA,41.0613493,-73.8372755,establishment
676,676,Newyork,Chelsea NY Tesla Supercharger, Chelsea NY ,,NA,NA,NA,NA
677,677,Newyork,Clinton Corners NY Supercharger, 2300 Salt Point Turnpike Clinton Corners 12514-2025, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
678,678,Newyork,East Hampton NY Tesla Supercharger, East Hampton NY ,,NA,NA,NA,NA
679,679,Newyork,Elmhurst NY Tesla Supercharger, Elmhurst NY ,,NA,40.6618426,-73.7928163,establishment
680,680,Newyork,Erwin Supercharger, 125 Victory Hwy Erwin NY 14870, Roadside Assistance: (877) 798-3752,10,NA,NA,NA
681,681,Newyork,Flushing NY Tesla Supercharger, Flushing NY ,,NA,NA,NA,NA
682,682,Newyork,Gowanus NY Tesla Supercharger, Gowanus NY ,,NA,40.7219089,-73.956413,establishment
683,683,Newyork,Guilderland Supercharger, 1 Crossgates Mall Road Guilderland NY 12203, Roadside Assistance: (877) 798-3752,20,42.689564,-73.850038,establishment
684,684,Newyork,Harlem NY Tesla Supercharger, Harlem NY ,,NA,NA,NA,NA
685,685,Newyork,Islandia NY Tesla Supercharger, Islandia NY ,,NA,NA,NA,NA
686,686,Newyork,Ithaca NY Tesla Supercharger, Ithaca NY ,,NA,NA,NA,NA
687,687,Newyork,JFK - Queens NY Supercharger, 150th Ave and 147th St Queens NY 11430, Roadside Assistance: (877) 798-3752,4,40.6618426,-73.7928163,establishment
688,688,Newyork,Kingston Supercharger, 640 Washington Ave. Kingston NY 12401, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
689,689,Newyork,Kips Bay NY Tesla Supercharger, Kips Bay NY ,,NA,40.813953,-74.4688944,establishment
690,690,Newyork,Lake Placid NY Tesla Supercharger, Lake Placid NY ,,NA,44.7025675,-73.4911641,establishment
691,691,Newyork,Little Neck NY Tesla Supercharger, Little Neck NY ,,NA,40.664163,-73.724926,establishment
692,692,Newyork,Long Island-Syosset, 7 Aerial Way Syosset NY 11791 , Roadside Assistance: (877) 798-3752,6,NA,NA,NA
693,693,Newyork,Lower Manhattan NY Tesla Supercharger, Lower Manhattan NY ,,NA,40.7410694,-74.0075722,car_dealer
694,694,Newyork,Mahwah NY Tesla Supercharger, Mahwah NY ,,NA,NA,NA,NA
695,695,Newyork,Manorville NY Tesla Supercharger, Manorville NY ,,NA,40.7494263,-74.003946,car_dealer
696,696,Newyork,Middletown NY Tesla Supercharger, Middletown NY ,,NA,41.9419133,-74.0274235,establishment
697,697,Newyork,New Rochelle NY Supercharger, 33 LeCount Place and Huguenot Street New Rochelle NY 10801-6408, Roadside Assistance: (877) 798-3752,8,40.9114882,-73.7823549,locality
698,698,Newyork,New York NY - E 47th Street Supercharger, 212 East 47th Street New York 10017, Roadside Assistance: (877) 798-3752,4,40.7566626,-73.9785554,route
699,699,Newyork,New York NY - Mott Street Supercharger, 106 Mott Street New York NY 10013-4600, Roadside Assistance: (877) 798-3752,2,40.7494263,-74.003946,car_dealer
700,700,Newyork,New York NY - West 75th Street Supercharger, 201 W 75th Street New York 10023-1704, Roadside Assistance: (877) 798-3752,NA,40.7803414,-73.9796591,route
701,701,Newyork,Newburgh Supercharger, 1217 NY-300 Newburgh NY 12550, Roadside Assistance: (877) 798-3752,6,41.4998387,-74.0715489,establishment
702,702,Newyork,Oneonta NY Tesla Supercharger, Oneonta NY ,,NA,43.113909,-75.2068247,establishment
703,703,Newyork,Ossining NY Tesla Supercharger, Ossining NY ,,NA,41.0613493,-73.8372755,establishment
704,704,Newyork,Plainview NY Tesla Supercharger, Plainview NY ,,NA,40.8002748,-73.5153174,establishment
705,705,Newyork,Plattsburgh Supercharger, 60 Smithfield Blvd Plattsburgh NY 12901, Roadside Assistance: (877) 798-3752,8,44.6994873,-73.4529124,locality
706,706,Newyork,Port Chester NY Tesla Supercharger, Port Chester NY ,,NA,41.0405492,-73.6735405,establishment
707,707,Newyork,Queens NY Tesla Supercharger ,Queens NY ,,NA,40.6618426,-73.7928163,establishment
708,708,Newyork,Queensbury Supercharger, 578 Aviation Road Queensbury NY 12804, Roadside Assistance: (877) 798-3752,8,43.353627,-73.6771662,locality
709,709,Newyork,Roscoe NY Tesla Supercharger, Roscoe NY ,,NA,41.9419133,-74.0274235,establishment
710,710,Newyork,Salamanca NY Tesla Supercharger, Salamanca NY ,,NA,42.9686616,-78.6955216,establishment
711,711,Newyork,Scarsdale NY Tesla Supercharger, Scarsdale NY ,,NA,NA,NA,NA
712,712,Newyork,Shirley NY Tesla Supercharger, Shirley NY ,,NA,40.7494263,-74.003946,car_dealer
713,713,Newyork,Southampton Supercharger, 850 County Road 39 Southampton NY 11968, Roadside Assistance: (877) 798-3752,8,40.8598656,-72.5678041,administrative_area_level_3
714,714,Newyork,Syracuse Supercharger, 441 Electronics Parkway Liverpool NY 13088, Roadside Assistance: (877) 798-3752,8,43.0481221,-76.1474244,locality
715,715,Newyork,Tarrytown Supercharger, 600 White Plains Road Tarrytown NY 10591-5104, Roadside Assistance: (877) 798-3752,12,41.0613493,-73.8372755,establishment
716,716,Newyork,Upper East Side NY Tesla Supercharger, Upper East Side NY ,,NA,40.7219089,-73.956413,establishment
717,717,Newyork,Utica Supercharger, 50 Auert Ave. Utica NY 13501, Roadside Assistance: (877) 798-3752,8,43.113909,-75.2068247,establishment
718,718,Newyork,Valley Stream NY Supercharger, 2034 Green Acres Mall Sunrise Highway Valley Stream,,16,40.664163,-73.724926,establishment
719,719,Newyork,Victor Supercharger, 7979 Pittsford Victor Rd Victor NY 14564, Roadside Assistance: (877) 798-3752,8,42.9825633,-77.4088794,locality
720,720,Newyork,Wantagh NY Tesla Supercharger, Wantagh NY ,,NA,NA,NA,NA
721,721,Newyork,Waterloo Supercharger, 1133 Route 414 Waterloo NY 13165, Roadside Assistance: (877) 798-3752,8,37.09024,-95.712891,country
722,722,Newyork,Watertown Supercharger, 21182 Salmon Run Mall Loop W Watertown NY 13601, Roadside Assistance: (877) 798-3752,8,43.979585,-75.9541569,establishment
723,723,Newyork,West Nyack NY Tesla Supercharger, West Nyack NY ,,NA,NA,NA,NA
724,724,Newyork,White Plains NY Tesla Supercharger, White Plains NY ,,NA,NA,NA,NA
725,725,Newyork,Woodbury NY Tesla Supercharger, Woodbury NY ,,NA,40.8002748,-73.5153174,establishment
726,726,Newyork,Yonkers NY Tesla Supercharger, Yonkers NY ,,NA,40.9634029,-73.85499,establishment
727,727,North Carolina,Asheville Supercharger, 800 Brevard Road Asheville NC 28806, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
728,728,North Carolina,Burlington NC Supercharger, 1080 Piper Ln Burlington NC 27215, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
729,729,North Carolina,Charlotte Supercharger, 2720 W Mallard Creek Church Rd Charlotte NC 28262, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
730,730,North Carolina,Durham NC Tesla Supercharger, Durham NC ,,NA,NA,NA,NA
731,731,North Carolina,Fayetteville NC Supercharger, 1965 Cedar Creek Road Fayetteville NC 28312, Roadside Assistance: (877) 798-3752,16,NA,NA,NA
732,732,North Carolina,Greensboro NC Supercharger, 5421 Hornaday Road Greensboro NC 27407-2747, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
733,733,North Carolina,Lumberton Supercharger, 5093 Fayetteville Rd. Lumberton NC 28358, Roadside Assistance: (877) 798-3752,4,34.6676128,-79.0022996,establishment
734,734,North Carolina,Plymouth NC Supercharger, 840 U.S. 64 Plymouth NC 27962, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
735,735,North Carolina,Point Harbor NC Tesla Supercharger, Point Harbor NC ,,NA,NA,NA,NA
736,736,North Carolina,Raleigh NC Supercharger, Lassiter at North Hills Ave Raleigh NC 27609-5780, Roadside Assistance: (877) 798-3752,12,35.9060423,-78.7469797,car_dealer
737,737,North Carolina,Rocky Mount NC Supercharger, 651 N. Winstead Avenue Rocky Mount NC 27804, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
738,738,North Carolina,Wallace NC Tesla Supercharger, Wallace NC ,,8,NA,NA,NA
739,739,North Carolina,Wilmington Supercharger, 6835 Conservation Way Wilmington NC 28405-4191, Roadside Assistance: (877) 798-3752,10,34.2424791,-77.8285534,establishment
740,740,North Dakota,Bismarck ND Tesla Supercharger, Bismarck ND ,,NA,46.8083268,-100.7837392,locality
741,741,North Dakota,Dickinson ND Tesla Supercharger, Dickinson ND ,,NA,NA,NA,NA
742,742,North Dakota,Fargo ND Tesla Supercharger, Fargo ND ,,NA,46.8771863,-96.7898034,locality
743,743,North Dakota,Grand Forks ND Tesla Supercharger, Grand Forks ND ,,NA,NA,NA,NA
744,744,North Dakota,Jamestown ND Tesla Supercharger, Jamestown ND ,,NA,46.9105438,-98.7084357,locality
745,745,North Dakota,Pembina ND Tesla Supercharger, Pembina ND ,,NA,48.9663765,-97.2436761,locality
746,746,Ohio,Akron OH Tesla Supercharger, Akron OH ,,NA,41.3433155,-81.8249447,establishment
747,747,Ohio,Cambridge OH Supercharger, 2101 Southgate Parkway Cambridge OH 43725-3080 ,,8,40.0035546,-81.5750442,establishment
748,748,Ohio,Chillicothe OH Tesla Supercharger, Chillicothe OH ,,NA,39.8771507,-83.0634261,establishment
749,749,Ohio,Cincinatti OH,9111 Blue Ash Road Cincinnati OH 45242 , Roadside Assistance: (877) 798-3752,8,39.1031182,-84.5120196,locality
750,750,Ohio,Cleveland OH Tesla Supercharger, Cleveland OH ,,NA,41.3433155,-81.8249447,establishment
751,751,Ohio,Columbus OH Tesla Supercharger, Columbus OH ,,NA,NA,NA,NA
752,752,Ohio,Dayton OH Supercharger, 9200 N Main Street Dayton OH 45415, Roadside Assistance: (877) 798-3752,8,39.8584981,-84.2767599,establishment
753,753,Ohio,Dublin OH Tesla Supercharger, Dublin OH ,,NA,40.0572104,-82.9279988,car_repair
754,754,Ohio,Grove City Supercharger, 2221 Stringtown Rd Grove City OH 43123, Roadside Assistance: (877) 798-3752,8,39.8771507,-83.0634261,establishment
755,755,Ohio,Lima Supercharger, 1933 Roschman Ave. Lima OH 45804, Roadside Assistance: (877) 798-3752,8,40.7266786,-84.071909,establishment
756,756,Ohio,Macedonia OH Supercharger, 8210 Macedonia Commons Blvd. Macedonia OH 44056, Roadside Assistance: (877) 798-3752,6,41.3174524,-81.5047772,locality
757,757,Ohio,Maumee OH Supercharger, 1391 Conant Street Maumee OH 43537, Roadside Assistance: (877) 798-3752,8,41.5784031,-83.6647108,establishment
758,758,Ohio,Mt. Gilead Supercharger, 6200 State Route 95 Mt. Gilead OH 43338-9548, Roadside Assistance: (877) 798-3752,8,40.5492265,-82.8274014,locality
759,759,Ohio,Polaris OH Tesla Supercharger, Polaris OH ,,NA,40.093197,-83.0922486,establishment
760,760,Ohio,Sandusky OH Tesla Supercharger, Sandusky OH ,,NA,41.3433155,-81.8249447,establishment
761,761,Ohio,Sheffield OH Supercharger, 5295 Detroit Road Sheffield OH 44054-2902, Roadside Assistance: (877) 798-3752,8,41.426216,-82.0769898,locality
762,762,Ohio,Strongsville OH Supercharger, 9037 Pearl Road Strongsville OH 44136, Roadside Assistance: (877) 798-3752,8,41.3433155,-81.8249447,establishment
763,763,Ohio,Toledo OH Supercharger, 1500 E. Alexis Road Toledo OH 43612-3952, Roadside Assistance: (877) 798-3752,10,41.7215472,-83.5092247,establishment
764,764,Ohio,West Cincinnati OH Supercharger, 6550 Harrison Avenue Cincinnati OH 45247, Roadside Assistance: (877) 798-3752,12,39.1118457,-84.5248403,neighborhood
765,765,Oklahoma,Ardmore Supercharger, 322 Holiday Drive Ardmore OK 73401, Roadside Assistance: (877) 798-3752,6,34.1791964,-97.1656429,establishment
766,766,Oklahoma,Catoosa Supercharger, 777 W. Cherokee St. Catoosa OK 74015, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
767,767,Oklahoma,Henryetta OK Tesla Supercharger, Henryetta OK ,,NA,NA,NA,NA
768,768,Oklahoma,Oklahoma City Supercharger, 7624 West Reno Ave 380 Oklahoma City OK 73127, Roadside Assistance: (877) 798-3752,8,35.4616495,-97.6514487,establishment
769,769,Oklahoma,Perry Supercharger, 2812 Fir Street Perry OK 73077, Roadside Assistance: (877) 798-3752,6,40.7266786,-84.071909,establishment
770,770,Oklahoma,Weatherford Supercharger, 1301 N Airport Rd Weatherford OK 73096, Roadside Assistance: (877) 798-3752,6,35.5261633,-98.7075744,locality
771,771,Oregon,Baker City Supercharger, 1 Sunridge Lane Baker City OR 97814, Roadside Assistance: (877) 798-3752,8,44.7829944,-117.8124067,establishment
772,772,Oregon,Bandon Supercharger, 120 Michigan Ave. NE Bandon OR 97411, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
773,773,Oregon,Bend Supercharger, 61535 S Highway 97 Bend OR 97702, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
774,774,Oregon,Boardman OR Tesla Supercharger, Boardman OR ,,NA,41.2014126,-80.4557629,establishment
775,775,Oregon,Burns OR Tesla Supercharger, Burns OR ,,NA,NA,NA,NA
776,776,Oregon,Detroit OR Supercharger, 210 D Street Detroit OR 97342, Roadside Assistance: (877) 798-3752,6,42.331427,-83.0457538,locality
777,777,Oregon,Grants Pass Supercharger, 1900 NW 6th St. Grants Pass OR 97526, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
778,778,Oregon,Hood River OR Tesla Supercharger, Hood River OR ,,NA,45.7053966,-121.5214623,locality
779,779,Oregon,Klamath Falls Supercharger, 2655 Shasta Way Klamath Falls OR 97603-4455, Roadside Assistance: (877) 798-3752,8,42.2168951,-121.7564083,establishment
780,780,Oregon,Lincoln City Supercharger, 1500 SE East Devils Lake Rd. Lincoln City OR 97367, Roadside Assistance: (877) 798-3752,8,44.9577584,-124.010941,establishment
781,781,Oregon,Madras OR Tesla Supercharger, Madras OR ,,NA,NA,NA,NA
782,782,Oregon,Newport OR Tesla Supercharger, Newport OR ,,NA,41.660683,-71.4972155,establishment
783,783,Oregon,Ontario OR Tesla Supercharger, Ontario OR ,,NA,39.0440498,-95.7602249,establishment
784,784,Oregon,Pendleton Supercharger, 46510 Wildhorse Blvd. Pendleton OR 97801, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
785,785,Oregon,Portland OR Tesla Supercharger, Portland OR ,,NA,45.4501889,-122.7827762,establishment
786,786,Oregon,Portland OR - NW Tesla Supercharger, Portland OR ,,NA,NA,NA,NA
787,787,Oregon,Portland OR - NE Tesla Supercharger, Portland OR ,,NA,45.4501889,-122.7827762,establishment
788,788,Oregon,Portland OR - SE Tesla Supercharger, Portland OR ,,NA,NA,NA,NA
789,789,Oregon,Roseburg OR Tesla Supercharger, Roseburg OR ,,NA,43.121866,-124.3989539,establishment
790,790,Oregon,Salem OR Tesla Supercharger, Salem OR ,,NA,45.1530976,-122.8812868,establishment
791,791,Oregon,Sandy Supercharger, 16625 SE 362nd Dr. Sandy OR 97055, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
792,792,Oregon,Seaside OR Supercharger, 1111 N Roosevelt Dr Seaside OR 97138, Roadside Assistance: (877) 798-3752,8,39.0440498,-95.7602249,establishment
793,793,Oregon,Springfield OR Supercharger, 919 Kruse Way Springfield OR 97477, Roadside Assistance: (877) 798-3752,15,37.244319,-93.3888303,airport
794,794,Oregon,The Dalles OR Supercharger, 2114 West 6th Street The Dalles OR 97058, Roadside Assistance: (877) 798-3752,5,NA,NA,NA
795,795,Oregon,Tigard OR Supercharger, 9585 Southwest Washington Square Road Tigard OR 97223, Roadside Assistance: (877) 798-3752,10,NA,NA,NA
796,796,Oregon,Woodburn Supercharger, 255 N Arney Rd Woodburn OR 97071, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
797,797,Pennsylvania,Allentown Supercharger, 4680 Broadway Allentown PA 18104, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
798,798,Pennsylvania,Altoona PA Tesla Supercharger, Altoona PA ,,NA,39.9999263,-78.239114,establishment
799,799,Pennsylvania,Bellefonte PA Supercharger, 170 Buckaroo Ln Bellefonte PA 16823-9119, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
800,800,Pennsylvania,Bloomsburg Supercharger, 11 Ricky Ave. Bloomsburg PA 17815, Roadside Assistance: (877) 798-3752,8,41.0161977,-76.492514,establishment
801,801,Pennsylvania,Breezewood Supercharger, 16417 Lincoln Highway Breezewood PA 15533, Roadside Assistance: (877) 798-3752,8,39.9999263,-78.239114,establishment
802,802,Pennsylvania,Bridesburg PA Tesla Supercharger, Bridesburg PA ,,NA,40.1017551,-74.7932786,establishment
803,803,Pennsylvania,Carlisle PA Supercharger, 1720 Harrisburg Pike Carlisle PA 17015, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
804,804,Pennsylvania,Cranberry Township PA Supercharger, 1308 Freedom Rd Cranberry Township PA 16066, Roadside Assistance: (877) 798-3752,6,40.6838251,-80.1083864,establishment
805,805,Pennsylvania,Erie Supercharger, 2225 Down Drive Erie PA 16509, Roadside Assistance: (877) 798-3752,8,42.1292241,-80.085059,locality
806,806,Pennsylvania,Falls Creek Supercharger, 1867 Rich Highway Falls Creek 15840-9515, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
807,807,Pennsylvania,Franklin Park PA Supercharger, 2615 Nicholson Road & Wexford Bayne Road Franklin Park PA 15143-8504, Roadside Assistance: (877) 798-3752,8,40.5834009,-80.0878352,locality
808,808,Pennsylvania,Harrisburg Supercharger, 3819 Union Deposit Rd Harrisburg PA 17109, Roadside Assistance: (877) 798-3752,8,40.2731911,-76.8867008,locality
809,809,Pennsylvania,Hermitage Supercharger, 2381 S. Hermitage Road Hermitage PA 16148, Roadside Assistance: (877) 798-3752,8,41.2333896,-80.44868,locality
810,810,Pennsylvania,King of Prussia PA Tesla Supercharger, King of Prussia PA ,,NA,40.088359,-75.3909134,car_dealer
811,811,Pennsylvania,Moosic Supercharger, 1035 Shoppes Blvd Moosic PA 18507-2140, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
812,812,Pennsylvania,North Huntingdon PA Supercharger, 7821 U.S. 30 North Huntingdon PA 15642-0000, Roadside Assistance: (877) 798-3752,8,40.3301883,-79.7307014,locality
813,813,Pennsylvania,Philadelphia PA Tesla Supercharger, Philadelphia PA ,,NA,40.58814,-75.5600883,establishment
814,814,Pennsylvania,Pittsburgh PA Tesla Supercharger, Pittsburgh PA ,,NA,NA,NA,NA
815,815,Pennsylvania,Plymouth Meeting PA Tesla Supercharger, Plymouth Meeting PA ,,NA,40.58814,-75.5600883,establishment
816,816,Pennsylvania,Somerset PA Supercharger, 1030 North Center Avenue Somerset PA 15501, Roadside Assistance: (877) 798-3752,6,39.9999263,-78.239114,establishment
817,817,Pennsylvania,Springfield PA Tesla Supercharger, Springfield PA ,,NA,NA,NA,NA
818,818,Pennsylvania,Swartzville PA Tesla Supercharger, Swartzville PA ,,NA,40.58814,-75.5600883,establishment
819,819,Pennsylvania,Tannersville Supercharger, 1000 Premium Outlets Dr Tannersville PA 18372, Roadside Assistance: (877) 798-3752,8,41.0453925,-75.3122133,establishment
820,820,Pennsylvania,York PA Tesla Supercharger, York PA ,,NA,40.23335,-77.1194245,establishment
821,821,Rhode Island,East Greenwich RI Supercharger, 1000 Division St East Greenwich RI 2818, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
822,822,Rhode Island,Newport RI Tesla Supercharger, Newport RI ,,NA,41.660683,-71.4972155,establishment
823,823,South Carolina,Charleston SC Tesla Supercharger, Charleston SC ,,NA,33.7043844,-78.9251774,establishment
824,824,South Carolina,Columbia SC Supercharger, 8910 Farrow Road Columbia SC 29203-9729, Roadside Assistance: (877) 798-3752,8,34.106319,-80.950723,establishment
825,825,South Carolina,Florence SC Supercharger, 2701 David H McLeod Blvd Florence SC 29501-4043, Roadside Assistance: (877) 798-3752,18,34.1901893,-79.8327048,establishment
826,826,South Carolina,Greenville Supercharger, 108 Carolina Point Greenville SC 29605, Roadside Assistance: (877) 798-3752,8,34.8259138,-82.3069919,establishment
827,827,South Carolina,Myrtle Beach Supercharger, 2000 Coastal Grand Circle Myrtle Beach SC 29577-9798, Roadside Assistance: (877) 798-3752,10,33.7043844,-78.9251774,establishment
828,828,South Carolina,Santee SC Supercharger, 114 Bradford Blvd Santee SC 29142, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
829,829,South Dakota,Custer SD Supercharger, 800 Mount Rushmore Road Custer SD 57730-2033, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
830,830,South Dakota,Mitchell SD Supercharger, 1305 W. Havens Street Mitchell SD 57301, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
831,831,South Dakota,Murdo SD Supercharger, 302 W 5th St. Murdo SD 57559, Roadside Assistance: (877) 798-3752,4,43.8869395,-100.7168989,establishment
832,832,South Dakota,Oacoma SD Supercharger, 1000 E Dakota Highway 16 Chamberlain SD 57365-0000, Roadside Assistance: (877) 798-3752,8,43.7961053,-99.395657,locality
833,833,South Dakota,Rapid City SD Supercharger, 2200 N. Maple Ave Rapid City SD 57701, Roadside Assistance: (877) 798-3752,4,NA,NA,NA
834,834,South Dakota,Sioux Falls SD Supercharger, 1900 South Marion Rd Sioux Falls SD 57106-3636, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
835,835,South Dakota,Spearfish SD Supercharger, 3275 Old Belle Rd Spearfish SD 57783-6222, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
836,836,South Dakota,Wall SD Tesla Supercharger, Wall SD ,,NA,44.520678,-103.8907077,establishment
837,837,Tennessee,Bristol TN Supercharger, 416 Pinnacle Parkway Bristol TN, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
838,838,Tennessee,Chattanooga TN Supercharger, 1001 Airport Road Chattanooga TN 37421, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
839,839,Tennessee,Cookeville TN Supercharger, 377 West Jackson Street Cookeville TN 38501-5930, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
840,840,Tennessee,Dickson TN Supercharger, 100 Barzani Blv Dickson TN 37055-0000, Roadside Assistance: (877) 798-3752,8,36.0184848,-87.3330149,establishment
841,841,Tennessee,Jackson TN Supercharger, 56 Casey Jones Lane Jackson TN 38305-2481, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
842,842,Tennessee,Knoxville Supercharger, 10936 Parkside Dr Knoxville TN 37934, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
843,843,Tennessee,Manchester TN Tesla Supercharger, Manchester TN ,,NA,35.4588649,-86.0565675,establishment
844,844,Tennessee,Memphis TN Supercharger, 6073 Park Avenue Memphis TN 38119-5322, Roadside Assistance: (877) 798-3752,8,35.0978008,-89.8589587,establishment
